x,y,stress_shear_10000
2.612085096834123377e+01,3.754561154644618259e+00,1.849067360355639122e+00
2.627075630077800028e+01,3.685453598095648875e+00,1.796405185981320596e+00
2.641751819261821765e+01,3.609894915946784355e+00,1.746934824961956512e+00
2.656113733346009909e+01,3.528517327309962592e+00,1.698588171627280596e+00
2.670166874325117590e+01,3.441913398199672347e+00,1.647655668569158571e+00
2.683922001637466082e+01,3.350647543906379866e+00,1.595872812450681799e+00
2.697392912963981004e+01,3.255234514324086614e+00,1.544424491389335907e+00
2.710591696414755702e+01,3.156089673909679760e+00,1.493759705068448573e+00
2.723531942007915774e+01,3.053592041637918086e+00,1.443767582236115565e+00
2.736229623461300875e+01,2.948103210946570130e+00,1.394611321017985794e+00
2.748701560655123544e+01,2.839953912149548287e+00,1.346812585846607124e+00
2.760961013422420862e+01,2.729401153335137664e+00,1.300558210134269865e+00
2.773021013533605839e+01,2.616675387231786942e+00,1.255606615606417176e+00
2.784895643421153011e+01,2.501998054523278725e+00,1.211920229656463510e+00
2.796599651287970545e+01,2.385579444427388118e+00,1.169547058264334138e+00
2.808145390083012671e+01,2.267590757078779884e+00,1.128652387619813124e+00
2.819543446607494630e+01,2.148174553291927413e+00,1.089066310378781877e+00
2.830804827561667736e+01,2.027468366443372361e+00,1.050710239281025027e+00
2.841940948577641635e+01,1.905605393695574579e+00,1.013501029658579800e+00
2.852963010448928927e+01,1.782709676835171564e+00,9.774575468758381902e-01
2.863880141040226590e+01,1.658880773983520962e+00,9.425356830290815280e-01
2.874701081787221213e+01,1.534210319468197747e+00,9.086559170428648580e-01
2.885434771443340551e+01,1.408787780125817513e+00,8.757421134800813523e-01
2.896090318061497015e+01,1.282700600468174912e+00,8.437452929023913084e-01
2.906676366186684035e+01,1.156029300482229516e+00,8.126301107568486559e-01
2.917200006169471393e+01,1.028839000561691863e+00,7.823525886222018055e-01
2.927668137948265681e+01,9.011914196265503607e-01,7.528633036089518171e-01
2.938087741265096753e+01,7.731473664697009474e-01,7.241335275656196613e-01
2.948465863471696835e+01,6.447668390045665499e-01,6.961201381100557972e-01
2.958809766862177781e+01,5.161104154746842809e-01,6.688918242375203604e-01
2.969127225120513103e+01,3.872417989745358113e-01,6.423098589464835140e-01
2.979426132908423241e+01,2.582248672678168488e-01,6.176086559301389167e-01
2.989714411569995889e+01,1.291231518677095624e-01,5.926915382710351565e-01
2.999999999999999645e+01,2.312512686756213414e-16,5.821489104859907115e-01
3.016666666666666430e+01,1.002284390670696012e-17,5.726676542410783499e-01
3.033333333333332860e+01,9.915819855436515487e-18,5.487838066285392058e-01
3.049999999999999645e+01,3.275117202155043816e-18,5.260286171870028893e-01
3.066666666666666430e+01,-1.319207651372414520e-17,5.032923760473519970e-01
3.083333333333332860e+01,9.975974296508920701e-18,4.818701345854771723e-01
3.099999999999999645e+01,2.814734683318107411e-18,4.617893420649327174e-01
3.116666666666666430e+01,2.740620446320849490e-18,4.431868948714458578e-01
3.133333333333332860e+01,-1.233605471813449097e-17,4.260447001848999826e-01
3.149999999999999645e+01,8.865950402045276274e-18,4.103332390546576836e-01
3.166666666666666430e+01,2.980174839036155925e-18,3.959825411628228875e-01
3.183333333333332860e+01,2.992651871569228967e-18,3.829174533884432963e-01
3.199999999999999289e+01,-1.253714222689059778e-17,3.710499858670654461e-01
3.216666666666664298e+01,-1.261745621510988804e-17,3.602906932655699501e-01
3.233333333333332860e+01,3.039761785956914448e-18,3.505465939016668142e-01
3.249999999999999289e+01,3.051288325215952185e-18,3.417255224160501981e-01
3.266666666666664298e+01,-1.275343428917592273e-17,3.337360161430197314e-01
3.283333333333331439e+01,-1.280493708664433490e-17,3.264896799187131382e-01
3.299999999999999289e+01,3.058579958348739492e-18,3.199008944445542180e-01
3.316666666666665719e+01,3.062538063982194223e-18,3.138879430018665095e-01
3.333333333333331439e+01,-1.283966460587127560e-17,3.083728872719726510e-01
3.349999999999997868e+01,-1.285615104744717799e-17,3.032825155214746715e-01
3.366666666666665719e+01,3.037304376850748564e-18,2.985478860924318800e-01
3.383333333333332860e+01,3.031514461634462717e-18,2.941045077941206176e-01
3.399999999999997868e+01,-1.275985987264736519e-17,2.898919055043642223e-01
3.416666666666665719e+01,9.162120798331005723e-18,2.858538142227847745e-01
3.433333333333332860e+01,2.966796393373570730e-18,2.819379996247512454e-01
3.449999999999999289e+01,2.949059619388085734e-18,2.780954176479898399e-01
3.466666666666664298e+01,-1.249295161910161345e-17,2.742801135565636761e-01
3.483333333333332860e+01,9.043619940364355453e-18,2.704487686905513444e-01
3.499999999999999289e+01,2.889792624460627683e-18,2.665609077337186550e-01
3.516666666666665719e+01,2.870046427806063602e-18,2.625774612930626972e-01
3.533333333333331439e+01,-1.224038205244459262e-17,2.584612127121820313e-01
3.549999999999998579e+01,8.797487169915833191e-18,2.541755534324857124e-01
3.566666666666665719e+01,2.903723363634087602e-18,2.496857448947118474e-01
3.583333333333332860e+01,2.902073448948693168e-18,2.449564863938143155e-01
3.599999999999997868e+01,-1.227155751535431798e-17,2.399531209313492397e-01
3.616666666666664298e+01,-1.231596973850184879e-17,2.346400670200465832e-01
3.633333333333332860e+01,2.959711821134080532e-18,2.289821657929961007e-01
3.650000000000000000e+01,2.968098645706862017e-18,2.229431161275863549e-01
3.666666666666665009e+01,-1.240595684793804205e-17,2.164851731982006811e-01
3.683333333333332860e+01,8.815846534001472091e-18,2.095703925543978552e-01
3.700000000000000711e+01,2.957865848172052189e-18,2.021595646640909905e-01
3.716666666666667140e+01,2.957969299124768242e-18,1.942143925926972658e-01
3.733333333333332149e+01,-1.597084933115115286e-17,1.856967639583618768e-01
3.749999999999999289e+01,8.873836232786977376e-18,1.765735216181144873e-01
3.766666666666665719e+01,8.872981957698589679e-18,1.668201846426665969e-01
