arc_length,stress_height_5.0,stress_height_7.5,stress_height_10.0,stress_height_12.5,stress_height_15.0
2.753487291481082266e+01,2.396930140132351728e+00,2.283723405246566251e+00,2.793231478935048528e+00,3.927715270873603171e+00,6.339278108446185556e+00
2.770276848136454717e+01,2.439955184627171647e+00,2.281827706053267235e+00,2.778971543979754433e+00,3.915314504956960207e+00,6.344822772461806260e+00
2.787066404791827168e+01,2.488207927055476887e+00,2.280571950606731235e+00,2.763892598513748577e+00,3.901482458704298661e+00,6.347114560968885932e+00
2.803855961447199618e+01,2.542395961043799613e+00,2.280107851932464236e+00,2.747995826675713626e+00,3.886191250116417084e+00,6.346060132489577121e+00
2.820645518102572069e+01,2.603309827223276418e+00,2.280606550254262288e+00,2.731291248954584194e+00,3.869415109449811041e+00,6.341593714765052070e+00
2.837435074757944520e+01,2.671878828410181317e+00,2.282266026015855154e+00,2.713790210679193127e+00,3.851136219724650367e+00,6.333607366231462699e+00
2.854224631413316970e+01,2.749138599236255143e+00,2.285309786108515429e+00,2.695512968495956230e+00,3.831336587338980859e+00,6.322008945816288694e+00
2.871014188068689421e+01,2.836326447284505115e+00,2.289994286791022571e+00,2.676482065658543963e+00,3.809998691115833225e+00,6.306888244493396911e+00
2.887803744724061872e+01,2.934836963023069067e+00,2.296605680727339394e+00,2.656729343260248566e+00,3.787115622892815558e+00,6.288190779918927831e+00
2.904593301379434322e+01,3.046337949019046309e+00,2.305476204925691164e+00,2.636293384801493112e+00,3.762677670465282898e+00,6.265969531514094193e+00
2.921382858034806773e+01,3.172712807037891825e+00,2.316973641313480936e+00,2.615222381321868017e+00,3.736672118218029581e+00,6.240246943326686946e+00
2.938172414690179224e+01,3.316263167551631863e+00,2.331521801423407148e+00,2.593569469855415033e+00,3.709108061592993888e+00,6.211056618319497069e+00
2.954961971345551675e+01,3.479625840395171643e+00,2.349584802703152064e+00,2.571403174460936025e+00,3.679983880643282301e+00,6.178441077375063095e+00
2.971751528000924125e+01,3.666047150862261628e+00,2.371701374528191852e+00,2.548802930820635915e+00,3.649310905893820678e+00,6.142464199989231766e+00
2.988541084656296576e+01,3.879274361319166697e+00,2.398455624301095046e+00,2.525861035793329101e+00,3.617091171111928904e+00,6.103168210670629534e+00
3.005330641311669027e+01,4.124049207806813833e+00,2.430521863898507107e+00,2.502685458912186967e+00,3.583340703481843637e+00,6.060695193393941693e+00
3.022120197967041477e+01,4.405951317397849287e+00,2.468622684972752168e+00,2.479400500331567336e+00,3.548072246812785213e+00,6.015113754348790032e+00
3.038909754622413928e+01,4.732144380077091483e+00,2.513596703033619484e+00,2.456153440139512867e+00,3.511309200120035445e+00,5.966535547549399965e+00
3.055699311277786379e+01,5.111203242783776801e+00,2.566331708946606227e+00,2.433111415850432113e+00,3.473070140486964164e+00,5.915048029478298552e+00
3.072488867933158829e+01,5.554472323901490149e+00,2.627952967948726126e+00,2.410468643219993545e+00,3.433386026903483490e+00,5.860772791326546383e+00
3.089278424588531280e+01,6.075920513683318980e+00,2.699574458376641672e+00,2.388458196869205352e+00,3.392285150556310303e+00,5.803810497442810856e+00
3.106067981243903731e+01,6.694445704001275921e+00,2.782383319380147046e+00,2.367340514008045016e+00,3.349804144866538103e+00,5.744333115689638447e+00
3.122857537899276181e+01,7.434129717303529894e+00,2.877709082555639064e+00,2.347402919836324653e+00,3.305985942393799171e+00,5.682302151139469792e+00
3.139647094554648632e+01,8.328583463409227505e+00,2.987104597789606242e+00,2.328981418676298265e+00,3.260872058876306046e+00,5.617824483602461783e+00
3.156436651210021083e+01,9.422563234505819452e+00,3.112203295741859055e+00,2.312450272913327165e+00,3.214504171996563464e+00,5.551102595255805738e+00
3.173226207865393533e+01,1.078134446257854862e+01,3.254940690828276750e+00,2.298244653779337288e+00,3.166957747884877161e+00,5.482206861351807348e+00
